,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Lorengau,76,PG,1547348648,99,-2.02,147.27,83.43,13.44
81,Kuytun,44,RU,1547348649,55,54.34,101.51,-1.27,8.23
82,Clyde River,1,CA,1547344800,73,70.47,-68.59,-34.61,4.7
83,Deputatskiy,48,RU,1547348651,0,69.3,139.9,-31.69,2.82
84,Leningradskiy,20,RU,1547348653,100,69.38,178.42,-17.65,8.63
85,Klaksvik,92,FO,1547346000,93,62.23,-6.59,42.8,12.75
86,Govlyar,20,AZ,1547346600,40,40.95,45.73,35.6,9.17
87,Hilo,40,US,1547344380,64,19.71,-155.08,77.0,12.75
88,Iqaluit,5,CA,1547344800,67,63.75,-68.52,-23.81,24.16
89,Mopipi,80,BW,1547348659,85,-21.2,24.86,72.36,3.98
90,Tucupita,12,VE,1547348602,76,9.06,-62.05,75.87,6.89
91,Hithadhoo,8,MV,1547348661,100,-0.6,73.08,81.36,5.21
92,Lengshuitan,88,CN,1547348663,100,26.41,111.6,42.66,4.5
93,Mount Gambier,0,AU,1547344800,47,-37.83,140.78,77.0,16.11
94,Cidreira,64,BR,1547348665,90,-30.17,-50.22,73.62,13.94
95,Kutum,0,SD,1547348666,69,14.2,24.66,47.7,1.52
96,Saint-Philippe,1,CA,1547346900,86,45.36,-73.48,5.0,2.98
97,Gondanglegi,56,ID,1547348669,81,-7.75,112.01,82.26,3.98
98,Upernavik,32,GL,1547348670,100,72.79,-56.15,-5.77,9.35
99,Ariquemes,44,BR,1547348671,94,-9.91,-63.03,74.61,1.7
100,Kaitangata,100,NZ,1547348673,100,-46.28,169.85,56.07,5.06
101,Den Helder,90,NL,1547346420,100,52.96,4.76,48.2,12.75
102,Stykkisholmur,36,IS,1547348675,100,65.08,-22.73,31.23,11.92
103,Aklavik,20,CA,1547344800,66,68.22,-135.01,-31.01,9.35
104,Qaanaaq,0,GL,1547348678,66,77.48,-69.36,-22.87,10.92
105,Caravelas,76,BR,1547348679,100,-17.73,-39.27,80.19,12.33
106,Constitucion,5,MX,1547343600,33,23.99,-104.67,57.2,10.29
107,Dikson,76,RU,1547348682,100,73.51,80.55,-14.86,31.9
108,Torbay,90,CA,1547347380,86,47.66,-52.73,28.4,17.22
109,Ustrzyki Dolne,24,UA,1547348684,96,49.43,22.59,19.35,6.78
110,Nchelenge,80,ZM,1547348685,100,-9.35,28.74,65.79,2.59
111,Kadoshkino,68,RU,1547348687,80,54.03,44.42,9.63,11.43
112,Makakilo City,1,US,1547344620,66,21.35,-158.09,80.06,8.05
113,Cabedelo,20,BR,1547344800,94,-6.97,-34.84,75.2,6.93
114,Dongsheng,56,CN,1547348690,99,29.72,112.52,45.09,4.38
115,Yuci,0,CN,1547346600,42,37.68,112.73,28.4,2.24
116,Kalabo,68,ZM,1547348693,94,-15.0,22.67,66.06,4.27
117,Kodiak,90,US,1547346900,92,39.95,-94.76,30.92,14.99
118,Hibbing,90,US,1547348100,91,47.43,-92.94,25.34,6.93
119,Ribeira Grande,32,PT,1547348697,97,38.52,-28.7,62.01,21.39
120,Kuryk,92,KZ,1547348698,98,43.18,51.68,42.84,2.48
121,Norman Wells,40,CA,1547344800,73,65.28,-126.83,-34.61,5.82
122,Grand-Bourg,0,GP,1547346600,88,15.88,-61.31,71.6,1.12
123,Iwanai,76,JP,1547348702,100,42.97,140.51,32.49,11.54
124,Qasigiannguit,40,GL,1547344200,43,68.82,-51.19,-7.61,4.7
125,Maracas,20,TT,1547344800,78,10.76,-61.44,75.2,10.13
126,Agadez,8,NE,1547348705,45,16.97,7.99,53.1,1.36
127,San Joaquin,48,PH,1547348707,72,10.59,122.14,81.99,14.05
128,Sao Gabriel da Cachoeira,32,BR,1547348413,88,-0.13,-67.09,76.86,2.71
129,Bambous Virieux,40,MU,1547344800,78,-20.34,57.76,78.8,11.41
130,Jumla,92,NP,1547348710,97,29.28,82.18,20.61,2.08
131,Jiuquan,12,CN,1547348713,66,39.73,98.49,5.04,1.59
132,Los Llanos de Aridane,0,ES,1547346600,72,28.66,-17.92,59.0,8.05
133,Strezhevoy,40,RU,1547346600,84,60.73,77.6,1.4,13.42
134,Salta,75,AR,1547344800,88,-24.79,-65.41,68.0,5.82
135,Avarua,75,CK,1547344800,70,-21.21,-159.78,86.0,11.41
136,Phan Thiet,0,VN,1547348719,80,10.93,108.1,81.99,13.94
137,Mizan Teferi,0,ET,1547348720,61,6.99,35.58,54.63,2.59
138,Port Blair,0,IN,1547348685,98,11.67,92.75,83.25,12.77
139,Sinnamary,56,GF,1547348723,95,5.38,-52.96,78.57,10.36
140,Rajapur,76,IN,1547348724,91,25.39,81.15,61.56,7.0
141,Codrington,40,AU,1547344800,43,-28.95,153.24,89.6,8.05
142,Port Moresby,40,PG,1547344800,74,-9.47,147.16,84.2,17.22
143,Coihueco,88,CL,1547344800,51,-36.63,-71.83,60.8,5.82
144,Arraial do Cabo,0,BR,1547348729,90,-22.97,-42.02,76.5,13.27
145,Castro,75,CL,1547344800,87,-42.48,-73.76,44.6,3.36
146,Matara,92,PE,1547348732,95,-13.74,-72.9,45.27,1.74
147,Tuktoyaktuk,20,CA,1547344800,73,69.44,-133.03,-31.01,10.29
148,Nuevo Progreso,1,US,1547347980,83,26.05,-97.95,66.2,9.17
149,Port Lincoln,0,AU,1547348736,69,-34.72,135.86,73.98,14.61
150,Oranjestad,20,AW,1547344800,74,12.52,-70.03,78.8,17.22
151,Nioro,0,GM,1547348739,55,13.79,-15.05,65.7,4.88
152,Maxixe,24,MZ,1547348740,98,-23.86,35.35,80.46,5.39
153,Ambon,90,FR,1547346600,100,47.55,-2.56,50.0,4.7
154,Pacific Grove,1,US,1547348040,71,36.62,-121.92,57.02,4.09
155,Dunedin,64,NZ,1547348490,94,-45.87,170.5,59.76,4.72
156,Tiksi,24,RU,1547348745,48,71.64,128.87,-29.44,3.83
157,Sitka,20,US,1547348747,91,37.17,-99.65,28.26,9.31
158,Tomaszow Lubelski,88,PL,1547348748,96,50.45,23.42,32.58,13.44
159,Ponta Delgada,75,PT,1547346600,77,37.73,-25.67,59.0,9.17
160,Nyrob,80,RU,1547348751,82,60.74,56.73,17.1,10.25
161,Tacoronte,0,ES,1547346600,43,28.48,-16.41,68.0,5.82
162,Mount Darwin,64,ZW,1547348754,97,-16.77,31.58,64.71,3.27
163,Naze,12,NG,1547348755,88,5.43,7.07,72.0,6.62
164,Nova Olimpia,0,BR,1547348757,87,-14.8,-57.29,75.42,4.32
165,Samarai,24,PG,1547348715,100,-10.62,150.67,82.71,14.05
166,Anderson,90,US,1547348220,95,34.51,-82.65,35.96,11.41
167,Nome,1,US,1547348100,64,30.04,-94.42,54.86,11.41
168,Flic en Flac,40,MU,1547344800,78,-20.27,57.36,78.8,11.41
169,Honiara,92,SB,1547348763,90,-9.43,159.96,80.28,2.86
170,Cermik,75,TR,1547347800,74,38.14,39.45,28.4,2.98
171,Tasiilaq,36,GL,1547344200,67,65.61,-37.64,17.6,6.93
172,Newtonmore,92,GB,1547347800,93,57.07,-4.12,50.0,25.28
173,Antalaha,24,MG,1547348768,98,-14.9,50.28,76.32,4.54
174,Grand Gaube,40,MU,1547344800,78,-20.01,57.66,78.8,11.41
175,Bud,92,NO,1547346000,100,62.91,6.91,41.0,3.36
176,Souillac,90,FR,1547346600,93,45.6,-0.6,48.2,5.82
177,Bien Hoa,40,VN,1547346600,58,10.95,106.82,86.0,6.93
178,Riyadh,0,SA,1547344800,32,24.63,46.72,51.8,3.36
179,Shangzhi,76,CN,1547348775,58,45.21,127.96,26.91,3.76
180,Bitung,20,ID,1547346600,74,1.44,125.19,84.2,5.82
181,Sao Filipe,20,CV,1547348778,100,14.9,-24.5,71.28,9.08
182,Axim,32,GH,1547348779,97,4.87,-2.24,83.97,9.86
183,Severo-Kurilsk,80,RU,1547348778,95,50.68,156.12,33.3,17.36
184,Norsup,56,VU,1547348782,80,-16.07,167.38,85.32,0.85
185,Fort Thomas,90,US,1547348100,95,39.08,-84.45,33.08,5.82
186,Asyut,0,EG,1547344800,75,27.18,31.19,44.6,6.93
187,Airai,12,TL,1547348786,51,-8.93,125.41,87.93,1.97
188,Gambela,0,ET,1547348787,69,8.25,34.59,51.12,2.53
189,Yate,90,GB,1547348160,100,51.54,-2.41,51.8,19.46
190,Yar-Sale,88,RU,1547348790,90,66.83,70.83,5.76,21.65
191,Lagoa,0,PT,1547346600,65,37.14,-8.45,44.6,9.17
192,Papara,40,BR,1547344800,83,-3.98,-38.73,80.6,3.36
193,Shimoda,20,JP,1547344800,57,34.7,138.93,50.0,19.46
194,Iida,24,JP,1547348795,64,35.45,137.9,37.53,1.19
195,Katsuura,40,JP,1547344800,66,33.93,134.5,48.2,11.41
196,Carnarvon,0,ZA,1547348711,94,-30.97,22.13,50.31,6.22
197,Vila Velha,40,BR,1547344800,83,-3.71,-38.6,80.6,3.36
198,Letpadan,20,MM,1547348800,69,17.78,95.75,76.86,3.04
199,Kitimat,90,CA,1547344800,93,54.02,-128.69,35.6,18.34
200,Mar del Plata,0,AR,1547348664,48,-46.43,-67.52,55.98,5.99
201,Nouadhibou,0,MR,1547348804,85,20.93,-17.03,58.68,6.29
202,Xuanhua,0,CN,1547348805,40,40.61,115.04,19.44,3.09
203,Bilma,32,NE,1547348730,32,18.69,12.92,51.93,15.95
204,Aswan,24,EG,1547348807,95,24.09,32.9,47.07,2.75
205,Teya,5,MX,1547343720,64,21.05,-89.07,73.4,5.82
206,Dashitou,0,CN,1547348810,62,43.3,128.5,26.91,3.53
207,Rome,0,IT,1547347800,64,41.89,12.48,37.4,3.36
208,La Ronge,75,CA,1547344800,79,55.1,-105.3,19.4,5.82
209,Chokurdakh,80,RU,1547348686,37,70.62,147.9,-24.22,8.23
210,Nivala,12,FI,1547348816,84,63.93,24.96,16.47,3.71
211,Katobu,64,ID,1547348817,82,-4.94,122.53,86.58,3.53
212,Oneida,90,US,1547347920,88,41.07,-90.23,30.92,13.87
213,Bartica,20,GY,1547344800,94,6.41,-58.62,73.4,4.7
214,Pangnirtung,8,CA,1547348687,58,66.15,-65.72,-32.86,3.04
215,Nanortalik,92,GL,1547348822,94,60.14,-45.24,30.06,20.38
216,Takayama,75,JP,1547344800,56,36.14,137.25,44.6,3.36
217,Santa Isabel do Rio Negro,12,BR,1547348825,74,-0.41,-65.02,80.82,3.83
218,Komsomolskiy,68,RU,1547348745,82,67.55,63.78,5.22,15.17
219,Ostrovnoy,64,RU,1547348758,90,68.05,39.51,20.34,10.76
220,Tartagal,68,AR,1547348714,90,-22.52,-63.8,72.36,1.7
221,Chapleau,5,CA,1547344800,83,47.85,-83.4,-11.21,2.24
222,Gambo,0,NG,1547348831,40,11.96,9.63,60.39,8.57
223,Chicama,40,PE,1547344800,88,-7.84,-79.15,73.4,10.29
224,Gilgit,76,PK,1547348833,79,35.92,74.31,10.8,1.19
225,Matamoros,1,US,1547347980,93,25.87,-97.51,62.96,6.93
226,Fuerte Olimpo,0,BR,1547348836,81,-21.04,-57.87,78.93,4.5
227,Cherskiy,44,RU,1547348698,52,68.75,161.3,-17.65,1.81
228,Saint Anthony,1,US,1547344560,76,43.97,-111.68,12.02,5.82
229,Zhangye,0,CN,1547348840,57,38.94,100.46,15.3,2.37
230,Vanavara,12,RU,1547348841,33,60.35,102.28,-23.05,5.39
231,Wanlaweyn,0,SO,1547348842,84,2.62,44.89,71.91,11.1
232,Key West,90,US,1547348160,92,47.93,-96.78,26.6,8.05
233,Teguise,0,ES,1547346600,87,29.06,-13.56,59.0,9.17
234,Aldan,0,RU,1547348846,67,58.61,125.39,-10.27,2.48
235,Chara,20,GR,1547347800,80,39.42,22.43,33.8,5.82
236,Kruisfontein,0,ZA,1547348714,92,-34.0,24.73,60.66,6.89
237,Salinopolis,92,BR,1547348850,100,-0.61,-47.36,79.11,10.13
238,Le Robert,90,FR,1547346600,93,48.02,-4.17,50.0,11.41
239,Aksay,75,RU,1547346600,92,47.27,39.86,30.2,6.71
240,Oksfjord,80,NO,1547346000,80,70.24,22.35,30.2,18.34
241,Tabuk,20,PH,1547348855,64,17.41,121.44,74.34,2.37
242,Amalapuram,20,IN,1547346600,94,16.58,82.0,68.0,4.7
243,Praia da Vitoria,20,PT,1547344800,82,38.73,-27.07,59.0,22.32
244,Te Anau,32,NZ,1547348858,48,-45.41,167.72,61.74,7.34
245,Ville-Marie,75,CA,1547346060,83,47.33,-79.44,-9.41,2.24
246,Zambezi,88,ZM,1547348861,96,-13.55,23.12,65.16,9.01
247,Hirara,75,JP,1547344800,68,24.8,125.28,71.6,12.75
248,Baykit,0,RU,1547348863,0,61.68,96.39,-35.47,3.04
249,Salalah,0,OM,1547344200,33,17.01,54.1,71.6,8.05
250,Uchaly,92,RU,1547348866,88,54.32,59.38,21.51,11.1
251,Ahipara,68,NZ,1547348853,69,-35.17,173.16,73.35,10.36
252,Colac,0,AU,1547348869,34,-38.34,143.59,78.48,5.21
253,Bagdarin,36,RU,1547348870,66,54.44,113.59,-11.89,1.59
254,Betsiamites,90,CA,1547344800,55,48.94,-68.65,10.4,12.75
255,Guerrero Negro,64,MX,1547348777,95,27.97,-114.04,57.42,4.05
256,Zhoucheng,75,CN,1547344800,93,31.35,119.33,37.4,4.47
257,Bathsheba,40,BB,1547344800,69,13.22,-59.52,77.0,12.75
258,Saint George,20,GR,1547347800,80,39.45,22.34,33.8,5.82
259,Victoria,75,BN,1547346600,74,5.28,115.24,87.8,4.7
260,Hovd,75,NO,1547347800,91,63.83,10.7,33.8,19.46
261,Itarema,56,BR,1547348821,97,-2.92,-39.92,73.71,1.25
262,Gympie,32,AU,1547348881,55,-26.2,152.66,82.8,7.9
263,Alto Araguaia,12,BR,1547348882,94,-17.32,-53.22,67.86,2.86
264,Vila,0,IT,1547347800,73,45.18,8.4,32.0,3.36
265,Keelung,75,TW,1547346600,77,25.13,121.74,69.8,14.99
266,Udachnyy,24,RU,1547348714,0,66.42,112.4,-32.32,2.48
267,Newcastle,0,ZA,1547348803,90,-27.76,29.92,53.28,3.27
268,Sabha,0,LY,1547348774,78,27.03,14.43,25.38,5.77
269,Ngunguru,68,NZ,1547348889,90,-35.62,174.5,71.82,14.27
270,Lata,92,IN,1547348756,100,30.78,78.62,32.04,1.59
271,Talnakh,68,RU,1547348688,46,69.49,88.39,-28.99,14.05
272,Mandera,0,ET,1547348893,67,3.94,41.86,64.26,5.39
273,Collie,0,AU,1547348894,34,-33.36,116.15,82.44,15.84
274,Stranda,92,NO,1547347800,93,62.31,6.93,41.0,18.34
275,Wanning,75,AT,1547347800,96,48.64,13.53,33.8,6.93
276,Villa Maria,75,CO,1547344800,87,4.5,-74.09,53.6,4.7
277,Nantucket,1,US,1547347980,43,41.28,-70.1,26.06,10.29
278,Lahij,32,YE,1547348901,93,13.06,44.88,63.54,3.49
279,Vila Franca do Campo,75,PT,1547346600,77,37.72,-25.43,59.0,9.17
280,Beitbridge,32,ZA,1547348903,79,-22.21,29.99,76.32,12.1
281,Country Club,0,BR,1547344800,73,-23.02,-47.01,75.2,9.17
282,Sakaraha,32,MG,1547348906,91,-22.91,44.53,71.28,4.61
283,Bilibino,20,RU,1547348907,0,68.06,166.44,-27.37,2.3
284,Portland,1,US,1547347980,73,45.52,-122.67,46.04,8.05
285,Pevek,0,RU,1547348742,71,69.7,170.27,-23.68,4.72
286,Dingle,48,PH,1547348701,72,11.0,122.67,81.99,14.05
287,Moa,48,CU,1547348912,87,20.66,-74.95,69.75,4.38
288,Seoul,1,KR,1547346600,52,37.57,126.98,35.6,4.7
289,Longyearbyen,20,NO,1547344200,55,78.22,15.63,6.8,14.99
290,Lake Charles,1,US,1547348100,61,30.23,-93.22,56.12,12.75
291,Ordzhonikidze,0,UA,1547348917,100,44.96,35.36,32.58,9.64
292,Oranjemund,92,ZA,1547348766,93,-28.55,16.43,65.07,9.86
293,Nuuk,75,GL,1547344200,79,64.17,-51.74,26.6,1.12
294,Huarmey,0,PE,1547348711,91,-10.07,-78.15,62.19,4.21
295,Wajir,0,KE,1547348922,55,1.75,40.07,68.94,3.98
296,Makubetsu,20,JP,1547344800,66,42.84,143.34,15.8,6.93
297,Puerto Escondido,0,MX,1547348925,100,15.86,-97.07,80.64,4.05
298,Mitzic,76,GA,1547348926,99,0.78,11.55,70.29,2.71
299,Dargaville,80,NZ,1547348927,49,-35.94,173.86,77.67,13.44
300,San Patricio,8,PY,1547348701,95,-26.98,-56.83,74.88,3.87
301,Rawson,0,AR,1547348728,51,-43.3,-65.11,60.48,10.8
302,Salisbury,90,GB,1547348160,82,51.07,-1.8,50.0,16.11
303,Sai Buri,75,TH,1547344800,88,6.7,101.62,77.0,5.82
304,Marica,0,BR,1547344800,83,-22.92,-42.82,80.6,9.17
305,Omboue,92,GA,1547348935,100,-1.57,9.26,75.24,8.86
306,Walvis Bay,0,NA,1547344800,93,-22.95,14.51,60.8,4.7
307,Eureka,40,US,1547346900,100,40.8,-124.16,53.6,4.7
308,Aitape,64,PG,1547348738,90,-3.15,142.36,82.71,8.75
309,Iralaya,92,HN,1547348943,86,15.0,-83.23,77.67,6.89
310,Ponta do Sol,32,BR,1547348702,88,-20.63,-46.0,67.23,3.38
311,Ajaccio,90,FR,1547346600,70,41.93,8.74,50.0,5.82
312,Brae,92,GB,1547347800,87,60.4,-1.35,48.2,25.28
313,Palmer,0,AU,1547346600,8,-34.85,139.16,87.8,16.11
314,Kholodnyy,20,RU,1547348949,47,62.72,147.95,-31.24,2.71
315,Rocha,0,UY,1547348868,90,-34.48,-54.34,64.71,8.23
316,Berlevag,88,NO,1547348705,100,70.86,29.09,27.72,4.09
317,Deer Lake,90,CA,1547344800,78,49.18,-57.43,17.6,4.7
318,Manadhoo,0,MV,1547348955,100,5.77,73.38,81.81,8.86
319,Gigmoto,92,PH,1547348956,97,13.78,124.39,79.38,15.46
320,Northam,92,GB,1547344200,87,51.04,-4.21,50.0,18.34
321,Yellowknife,20,CA,1547344800,69,62.45,-114.38,-11.21,10.29
322,Sauk Rapids,90,US,1547348160,81,45.59,-94.17,29.12,3.76
323,Rio Grande,75,BR,1547346600,88,-32.03,-52.1,71.6,4.7
324,Zhigansk,32,RU,1547348812,54,66.77,123.37,-18.46,10.13
325,Storslett,56,NO,1547348964,95,69.77,21.03,15.93,1.86
326,Khani,40,GE,1547346600,39,41.96,42.96,46.4,10.29
327,Mosquera,75,CO,1547344800,87,4.71,-74.23,53.6,4.7
328,Inuvik,20,CA,1547344800,66,68.36,-133.71,-31.01,6.51
329,San Jose,0,PH,1547348969,69,15.79,120.99,81.0,3.2
330,Phalia,20,PK,1547348970,96,32.43,73.58,47.97,3.31
331,Coquimbo,20,CL,1547344800,87,-29.95,-71.34,60.8,6.93
332,Bull Savanna,32,JM,1547348973,83,17.89,-77.59,70.2,3.31
333,Mangan,0,IN,1547348974,47,27.5,88.54,17.46,1.07
334,Rosa Zarate,92,EC,1547348975,89,0.33,-79.47,72.72,2.48
335,North Bend,40,US,1547344560,86,43.41,-124.22,51.98,1.59
336,Laguna,5,MX,1547343600,59,27.52,-110.01,62.6,3.36
337,Mecca,0,SA,1547348845,79,21.43,39.83,56.52,1.97
338,Port Hardy,90,CA,1547344800,87,50.7,-127.42,46.4,20.8
339,Marrakesh,12,MA,1547346600,52,31.63,-7.99,41.0,3.36
340,Port Augusta,0,AU,1547344800,41,-32.49,137.76,78.8,19.46
341,Sioux Lookout,90,CA,1547344800,85,50.1,-91.92,17.6,5.82
342,Garmsar,12,IR,1547348985,54,35.22,52.34,20.79,2.26
343,Madang,88,PG,1547348987,96,-5.21,145.81,81.0,3.76
344,Hay River,90,CA,1547344800,76,60.82,-115.79,-4.01,11.41
345,Broken Hill,0,AU,1547344800,18,-31.97,141.45,89.6,12.75
346,Henties Bay,48,NA,1547348991,100,-22.12,14.28,59.4,0.25
347,Tornio,0,FI,1547347800,92,61.12,27.27,14.0,3.36
348,Salym,92,RU,1547348993,77,60.06,71.48,7.38,11.88
349,Sur,8,OM,1547348837,100,22.57,59.53,69.75,4.38
350,Lamu,12,ID,1547348995,77,0.57,122.3,84.87,1.36
351,Mercedes,8,UY,1547348997,81,-33.25,-58.03,71.1,11.32
352,Hemsedal,56,NO,1547348998,83,60.86,8.55,19.17,4.09
353,Tanout,24,NE,1547348999,39,14.97,8.88,59.31,11.43
354,Loandjili,40,CG,1547344800,94,-4.77,11.87,77.0,1.12
355,Chulym,56,RU,1547349003,68,55.09,80.97,-0.73,11.03
356,Khandyga,12,RU,1547349007,0,62.65,135.58,-41.59,2.82
357,Coihaique,0,CL,1547344800,57,-45.58,-72.07,50.0,5.82
358,Tokur,48,RU,1547349010,67,53.13,132.9,-6.31,2.26
359,Talhar,0,PK,1547349011,93,24.88,68.82,54.18,9.57
360,Kozhva,88,RU,1547349012,70,65.11,57.05,14.85,11.03
361,College,1,US,1547344680,72,64.86,-147.8,-5.98,4.32
362,Orkney,0,ZA,1547349018,78,-26.98,26.67,55.98,1.81
363,Harbin,40,CN,1547344800,92,45.77,126.62,8.6,6.71
364,Agira,0,IT,1547347800,80,37.66,14.52,41.0,9.17
365,Grootfontein,0,NA,1547349022,34,-19.56,18.1,61.83,8.12
366,Yumen,24,CN,1547349023,70,40.29,97.04,5.49,10.25
367,Solnechnyy,36,RU,1547349024,62,50.72,136.64,-7.57,3.31
368,Namatanai,88,PG,1547349026,100,-3.66,152.44,82.89,17.47
369,Calama,0,CL,1547344800,54,-22.46,-68.93,55.4,14.99
370,Bethel,75,US,1547346480,82,60.79,-161.76,-4.01,20.8
371,Karimpur,0,BD,1547349029,79,23.98,88.63,63.99,7.9
372,Matagami,8,NG,1547349031,41,9.67,8.4,62.19,6.22
